aback,wstecz
circulate,cyrkulować
circumcize,circumcize
circumference,obwód
circumscribe,określić
circumspect,ostrożny
circumstance,okoliczność
circumvent,przechytrzyć
circus,cyrk
cistern,cysterna
citadel,cytadela
cite,cytować
citizen,obywatel
citrus,cytrus
city,miasto
civic,obywatelski
civil,cywilny
civilian,cywil
civilise,ucywilizować
clad,platerowane
claim,roszczenie
clamber,wspinanie się
clam,małż
clamour,krzyk
clamp,zacisk
clandestine,tajny
clang,szczęk
clank,brzęk
clan,klan
clap,klaskać
clarify,wyjaśniać
clarinet,klarnet
clash,starcie
clasp,zapięcie
classic,klasyczny
classification,klasyfikacja
classify,klasyfikować
class,klasa
clatter,brzęk
clause,klauzula
claustrophobia,klaustrofobia
claw,pazur
clay,glina
clean,czysty
cleanse,oczyścić
clear,jasny
cleave,rozszczepiać
cleft,rozszczep
clench,zaciskać
clergy,kler
clerical,urzędniczy
cleric,duchowny
clerk,urzędnik
clever,sprytny
cliche,frazes
click,kliknij
clientele,klientela
client,klient
cliff,klif
climate,klimat
climax,punkt kulminacyjny
climb,wspinać się
clinch,nit
cling,przylgnąć
clinic,klinika
clink,brzęk
clip,spinacz
clique,klika
cloak,płaszcz
clockwise,zgodnie ze wskazówkami zegara
clock,zegar
clog,zatkać
cloister,klasztor
clone,klon klonować
close,blisko
closed,zamknięte
closet,gabinet
closure,zamknięcie
clothes,ubranie
cloth,płótno
clot,krzepnąć
cloud,chmura
clout,klaps
clove,goździk
clover,koniczyna
clown,błazen
club,klub
clue,wskazówka
clump,kępa
clumsy,niezdarny
cluster,grupa
clutch,sprzęgło
clutter,nieład
coach,trener
coalesce,łączyć
coalition,koalicja
coal,węgiel
coarse,zgrubny
coaster,coaster
coast,wybrzeże
coat,płaszcz
coax,nakłaniać
cobalt,kobalt
cobble,kostka
cobra,kobra
cobweb,pajęczyna
cocaine,kokaina
cock,kogut
cockpit,kabina pilota
cockroach,karaluch
cocktail,koktajl
cocoa,kakao
coconut,orzech kokosowy
cocoon,kokon
cod,dorsz
code,kod
codify,kodyfikować
coefficient,współczynnik
coerce,przymusić
coexist,współistnieć
coffee,kawa
coffer,kaseton
coffin,trumna
cogent,przekonywający
cog,koło zębate
cognac,koniak
cognition,poznawanie
cognitive,poznawczy
cohabit,żyć wspólnie
coherence,konsekwencja
coherent,zgodny
cohesion,spójność
cohesive,spoisty
cohort,kohorta
coil,cewka
coincide,zbiec się
coin,moneta
coke,koks
cola,Cola
cold,zimno
coli,coli
colitis,zapalenie jelita grubego
collaborate,współpracować
collage,kolaż
collagen,kolagen
collapse,zawalić się
collar,kołnierz
collateral,dodatkowy
colleague,współpracownik
collect,zebrać
college,szkoła wyższa
collegiate,kolegialny
collide,zderzać się
collision,kolizja
collude,zmówić się
colon,dwukropek
colonel,pułkownik
colony,kolonia
colorectal,jelita grubego
color,kolor
colossal,kolosalny
colosseum,koloseum
colour,kolor
colt,źrebię
columnist,felietonista
column,kolumna
coma,śpiączka
combat,walka
comb,grzebień
combine,połączyć
combo,kombinacja
combustion,spalanie
comedy,komedia
come,przychodzić zbliżać się
comet,kometa
comfort,komfort
comfy,wygodne
comic,komiczny
command,komenda
commando,komandos
comma,przecinek
commemorate,uczcić
commence,rozpocząć
commend,pochwalić
commensurate,współmierny
commentator,komentator
comment,komentarz
commerce,handel
commission,komisja
commit,popełnić
committee,komisja
commodity,towar
commodore,komandor
commonality,wspólność
commonplace,komunał
commons,lud
commonwealth,wspólnota
common,wspólny
commotion,zamieszanie
communal,wspólny
commune,gmina
communicate,porozumieć się
communion,komunia
communique,komunikat
communism,komunizm
communist,komunistyczny
community,społeczność
commute,łagodzić
compact,kompaktowy
companion,towarzysz
company,firma
comparative,porównawczy
compare,porównać
compartment,przedział
compassionate,współczujący
compassion,współczucie
compass,kompas
compatible,zgodny
compatriot,rodak
compel,zmusić
compensate,kompensować
competence,kompetencja
competent,kompetentny
compete,rywalizować
competition,konkurencja
compile,skompilować
complacent,zadowolony
complain,skarżyć się
complaint,skarga
complement,komplement
complete,kompletny
complexion,cera
complex,złożony
compliance,spełnienie
complicate,komplikować
complicity,współudział
compliment,komplement
comply,zastosować się
component,składnik
compose,komponować
composite,złożony
compost,kompost
composure,opanowanie
compound,złożony
comprehend,zrozumieć
comprehensive,wszechstronny
compress,kompresja
comprise,zawierać
compromise,kompromis
comptroller,rewizor
compulsion,przymus
compulsive,przymusowy
compulsory,obowiązkowy
computer,komputer
comrade,towarzysz
con,argument przeciw czemuś / kant szwindel
conceal,ukryć
concede,przyznać
conceit,zarozumiałość
conceive,pojąć
concentrate,koncentrować
concentric,koncentryczny
concept,pojęcie
concern,sprawa
concerted,zgodny
concert,koncert
concerto,koncert
concession,koncesja
conciliate,pogodzić
concise,zwięzły
conclude,wyciągnąć wniosek
conclusion,wniosek
conclusive,rozstrzygający
concoct,wymyślać
concomitant,towarzyszący
concord,zgoda
concourse,zbiegowisko
concrete,beton
concurrent,równoległy
concur,zgodzić się
concuss,onieśmielać
condemn,potępiać
condense,skraplać
condescend,zniżać się
condition,stan: schorzenie
condole,ubolewać
condominium,kondominium
condom,prezerwatywa
condone,przebaczyć winę
conducive,sprzyjający
conduct,przeprowadzić
conduit,przewód
cone,stożek
confection,konfekcja
confederate,konfederat
confer,przyznać
confess,wyznać
confidence,pewność siebie
confidential,poufny
confident,pewni
confide,zwierzać
configure,konfiguracja
confine,ograniczać
confirm,potwierdzać
confiscate,konfiskować
conflate,scalenia
conflict,konflikt
confluence,zbieg
conform,odpowiadać
confound,zawieść
confront,konfrontować
confuse,dezorientować
congenial,pokrewny
congenital,wrodzony
congest,przeciążać
conglomerate,konglomerat
congratulate,pogratulować
congregate,zgromadzić się
congress,kongres
congruent,przystający zgodny 
conical,stożkowy
conifer,drzewo iglaste
conjecture,przypuszczenie
conjunction,spójnik
conjure,czarować
connect,połączyć
connoisseur,znawca
connotation,konotacja
conquer,podbić
conquest,podbój
conscience,sumienie
conscientious,sumienny
conscious,przytomny
conscript,poborowy
consecrate,poświęcać
consecutive,kolejny
consensual,konsensusie
consensus,zgoda
consent,zgoda
consequence,konsekwencja
consequential,wynikający
consequent,następnik
conservancy,ochrona
conservatism,konserwatyzm
conservative,konserwatywny
conservatory,konserwatorium
conserve,chronić
considerable,znaczny
considerate,uważny
consider,rozważać
consign,frachtować
consistency,konsystencja
consistent,zgodny
consist,składać się
console,konsola
consolidate,konsolidować
consonant,spółgłoska
consortium,konsorcjum
consort,małżonek
conspicuous,rzucający się w oczy
conspiracy,spisek
conspire,konspirować
constable,policjant
constant,stały
constellation,konstelacja
consternation,konsternacja
constipate,spowodować obstrukcję
constituency,okręg wyborczy
constitute,stanowić
constitution,konstytucja
constrain,wymusić
constrict,uciskać
construct,zbudować
construe,interpretować
consul,konsul
consult,konsultować
consume,konsumować
consummate,wytrawny
consumption,konsumpcja
contact,kontakt
contagious,zakaźny
contain,zawierać
contaminant,zanieczyszczenie
contaminate,zanieczyścić
contemplate,rozważać
contemporary,współczesny
contempt,pogarda
contend,walczyć
contented,zadowolony
contentious,sporny
content,zawartość
contest,zawody
context,kontekst
contiguous,przyległy
continent,kontynent
contingent,kontyngent
continue,kontyntynuj
continuum,kontinuum
contort,wykrzywiać
contour,kontur
contraception,zapobieganie ciąży
contraceptive,antykoncepcyjny
contra,contra
contraction,skurcz
contract,kontrakt
contractual,umowny
contradict,zaprzeczać
contraption,przyrząd
contrary,przeciwnie
contrast,kontrast
contravene,naruszać
contribute,przyczynić się
contrite,skruszony
contrive,wymyślać
control,kontrola
controversy,spór
conundrum,zagadka
convalesce,wracać do zdrowia
convection,konwekcja
convene,zwołać
convenience,wygoda
convenient,wygodna
convention,konwencja
convent,klasztor
converge,skupiać
conversation,rozmowa
conversely,odwrotnie
conversion,konwersja
convert,konwertować
convex,wypukły
convey,przenieść
convict,skazać
convince,przekonać
convoluted,zwinięty
convoy,konwój
convulse,skręcać
coo,gruchać
cook,gotować
cookie,ciastko
cool,fajne
cooperate,współpracować
coop,kooperacja
coordinate,koordynować
cope,sprostać
copious,rzęsisty
copper,miedź
cop,policjant
copulate,spółkować
copy,kopiuj
copyright,prawo autorskie
coral,koral
cordial,serdeczny
cordon,kordon
cord,sznur
corduroy,spodnie sztruksowe
core,rdzeń
coriander,kolendra
cork,korek
corner,kąt róg
corn,kukurydza
corollary,następstwo
coronary,wieńcowy
coronation,koronacja
coroner,koroner
corporal,kapral
corporate,zbiorowy
corpse,zwłoki
corps,korpus
corpus,ciało
correct,poprawny
correlate,korelat
correspondent,korespondent
correspond,korespondować
corridor,korytarz
corroborate,potwierdzać
corrode,korodować
corrugate,sfałdować
corrupt,skorumpowany
corset,gorset
cortex,kora
cosmetic,kosmetyk
cosmic,kosmiczny
cosmology,kosmologia
cosmopolitan,kosmopolityczny
cosmos,kosmos
cossack,kozak
cost,koszt
costume,kostium
cosy,przytulny
cot,łóżko składane
cottage,chata
cotton,bawełna
couch,sofa
cough,kaszel
could,mógłby
council,rada
counsel,rada
countenance,oblicze
counteract,przeciwdziałać
counterbalance,przeciwwaga
counterfeit,podrobić
counter,licznik
counterpart,odpowiednik
counterpoint,kontrapunkt
countess,hrabina
count,liczyć
country,kraj
county,hrabstwo
coupe,coupe
couple,para
coupon,kupon
coup,pucz
courage,odwaga
courier,kurier
coursed,coursed
course,kierunek
courteous,uprzejmy
courtesy,kurtuazja
courtier,dworzanin
court,sąd
courtship,zaloty
courtyard,dziedziniec
cousin,kuzyn
covenant,przymierze
cover,pokrywa
covert,ukryty
covet,pożądać czegoś
cove,zatoczka
cowardice,tchórzostwo
coward,tchórz
cowboy,kowboj
cower,czołgać się
cow,krowa
coyote,kojot
coy,skromny
crab,krab
cracker,krakers
crackle,trzask
crack,pęknięcie
cradle,kolebka
craft,rzemiosło
crafty,podstępny
crag,turnia
cram,dopchać
cramp,skurcz
cranberry,żurawina
crane,dźwig
crank,korba
crash,wypadek
crass,tępy
crater,krater
crate,skrzynia
crave,pragnąć
crawl,czołgać się
crayon,pastel
craze,szał
crazy,zwariowany
creak,skrzypienie
cream,krem
crease,marszczyć
create,stwórz
creature,kreatura
credence,wiara
credentials,kwalifikacje
credible,wiarygodny
credit,kredyt
creed,kredo
creek,zatoczka
creep,pełzanie
cremate,kremować zwłoki
creole,kreolski
crescendo,crescendo
crescent,półksiężyc
crest,herb
crevice,szpara
crew,załoga
crib,łóżeczko
cricket,krykiet
crickets,świerszcze
crime,przestępstwo
criminal,kryminalista
criminology,kryminologia
crimson,karmazynowy
cringe,żenada
crinkle,zmarszczka
cripple,kaleka
crisis,kryzys
crisp,chrupiący
criteria,kryteria
criticise,krytykować
criticism,krytyka
critic,krytyk
critique,krytyka
croak,rechot
crocodile,krokodyl
crony,kumpel
crook,oszust
croon,nucić
crop,przyciąć
cross,krzyż
crossword,krzyżówka
crotch,krocze
crouch,kucanie
crowd,tłum
crown,korona
crow,wrona
crucial,istotny
crucible,tygiel
crucifix,krucyfiks
crucify,ukrzyżować
crude,surowy
cruel,okrutny
cruise,rejs
crumble,kruszyć się
crumb,miękisz
crumple,zgnieść
crunch,schrupać
crusade,krucjata
crush,zmiażdżyć
crust,skorupa
crutch,krocze
crux,sedno sprawy
cry,płakać
cryptic,tajny
crypt,krypta
crystal,kryształ
crystalline,krystaliczny
cube,sześcian
cubicle,boks biurowy
cubism,kubizm
cub,młode
cuckoo,kukułka
cucumber,ogórek
cuddle,przytulić
cue,replika
cuff,mankiet
cuisine,kuchnia jako sposób gotowania
culinary,kulinarny
cull,zerwać
culminate,kulminować
culpable,winny
culprit,winowajca
cultivate,kultywować
cult,kult
culture,kultura
cumbersome,nieporęczny
cum,smar
cumulative,łączny
cunning,przebiegły
cupboard,kredens
cup,puchar
curator,kurator
curb,krawężnik
curd,twaróg
cure,lekarstwo
curfew,godzina policyjna
curious,ciekawy
curl,kędzior
currant,porzeczka
currency,waluta
current,obecny
curriculum,program
curry,curry
curse,przekleństwo
cursor,kursor
cursory,pobieżny
curtail,skracać
curtain,kurtyna
curt,lakoniczny
curve,krzywa
cushion,poduszka
custard,krem
custodian,kustosz
custody,opieka
customer,klient
customise,dostosuj
custom,zwyczaj
cute,uroczy
cutlery,sztućce
cut,skaleczenie
cycle,cykl
cyclone,cyklon
cylinder,cylinder
cylindrical,cylindryczny
cynical,cyniczny
cypress,cyprys
cystic,torbielowaty
cyst,torbiel
dabble,pluskać się
dab,zimnica
dad,tata
daffodil,narcyz
daft,stuknięty
dagger,sztylet
dainty,delicje
dairy,mleczarnia
daisy,stokrotka
dale,dołek
damage,uszkodzić
dame,dama
damn,cholera
damp,wilgoć
dam,zapora
dance,taniec
dandelion,mniszek lekarski
danger,niebezpieczeństwo
dangle,dyndać
dank,wilgotny
dans,dans
dapple,pstrokaty
dare,odważyć się
dark,ciemny
darling,kochanie
darn,cerować
dart,strzałka
dashboard,deska rozdzielcza
dash,dziarskość
database,baza danych
data,dane
date,data
daughter,córka
daunt,nastraszyć
dawn,świt
day,dzień
daze,oszołomienie
dazzle,oślepiać
deacon,diakon
deadline,ostateczny termin
deadlock,impas
dead,nie żyje
deaf,głuchy
deal,rozdać
dean,dziekan
dear,drogi
dearth,brak
death,śmierć
debacle,spadek
debase,poniżyć
debate,debata
debilitate,osłabiać czyjeś siły
debit,obciążyć
debris,gruzy
debt,dług
debut,debiut
decade,dekada
decadence,dekadencja
decapitate,ściąć głowę
decay,rozkład
deceased,zmarły
deceit,oszustwo
deceive,oszukać
decelerate,zmniejszać prędkość
december,grudzień
decency,przyzwoitość
decent,przyzwoity
decentralize,zdecentralizować
deception,oszustwo
deceptive,zwodniczy
decibel,decybel
decide,zdecydować
decimal,dziesiętny
decimate,zdziesiątkować
decipher,odszyfrować
decision,decyzja
decisive,decydujący
decked,przystrojona
deck,pokład
declare,ogłosić
decline,upadek
decode,rozszyfrować
decompose,rozkładać się
deconstruct,deconstruct
decorate,udekorować
decor,dekoracje
decoy,maniak
decrease,zmniejszać
decree,dekret
decry,potępiać
dedicate,dedykować
deduce,wywieść
deduct,odjąć
deed,czyn
deem,uważać
deep,głęboki
deer,jeleń
defame,zniesławiać
default,domyślna
defeat,pokonać
defected,uszkodzone
defect,wada
defence,obrona
defendant,pozwany
defend,bronić
defer,odraczać
defiance,bunt
deficiency,niedobór
deficit,deficyt
define,definiować
definite,określony
definitive,ostateczny
deflate,siadać
deflect,odwracać
deforest,wylesiać
deform,deformować
defraud,oszukać
deft,zgrabny
defunct,zmarły
defuse,rozbroić
defy,przeciwstawiać się
degenerate,zdegenerowany
degrade,degradować
degree,stopień
dehydrate,odwodnić
deity,bóstwo
dejected,przygnębiony
delay,opóźnienie
delegate,delegat
delete,kasować
deleterious,szkodliwy
deliberate,celowe
deliberated,obrady
delicacy,delikatność
delicate,delikatny
delicatessan,delicatessan
delicious,pyszne
delight,rozkosz
delineate,nakreślić
delinquent,przestępca
delirious,bredzący
deliverance,przesylka
deliver,dostarczyć
delta,delta
delude,łudzić
deluge,potop
deluxe,deluxe
delve,sięgać
demand,żądanie
demarcate,wytyczać granice
demean,poniżać
demented,obłąkany
dementia,demencja
demise,zgon
demob,demobilizować
democracy,demokracja
democrat,demokrata
demography,demografia
demolish,zburzyć
demolition,rozbiórka
demon,demon
demonstrable,dający się udowodnić
demonstrate,wykazać
demoralise,zdemoralizować
demote,zdegradować
demure,poważny
denigrate,oczerniać
denim,dżinsowa
den,legowisko
denomination,określenie
denominator,mianownik
denote,oznaczać
denounce,potępiać
dense,gęsty
dental,dentystyczny
dentist,dentysta
dent,wygięcie
denunciation,wypowiedzenie
deny,zaprzeczać
department,departament
depart,odjazd
departure,wyjazd
dependence,zależność
dependency,zależność
depend,zależeć
depict,przedstawiać
deplete,wyczerpać
deplore,ubolewać
deploy,rozmieścić
deport,deportować
depose,zeznać że
deposition,zeznanie
deposit,kaucja
depot,magazyn
deprave,zdeprawować
depreciate,deprecjonować
depress,deprymować
deprive,pozbawiać
deputy,zastępca
derail,wykoleić
derange,doprowadzić do obłędu
derby,derby
deregulate,deregulacji
derelict,opuszczony
deride,szydzić
derive,czerpać
dermatology,dermatologia
descend,schodzić
descent,zejście
describe,opisać
description,opis
descriptor,deskryptor
desecrate,zbezcześcić
desert,pustynia
deserve,zasłużyć
designate,wyznaczyć
design,projekt
desire,pragnienie
desk,biurko
desolate,opuszczony
despair,rozpacz
despatch,wysyłka
desperate,zdesperowany
despicable,podły
despise,gardzić
despite,pomimo
despondent,przygnębiony
despot,despota
dessert,deser
destabilize,destabilizować
destination,miejsce docelowe
destiny,przeznaczenie
destitute,w nędzy
destroy,zniszczyć
destruction,zniszczenie
detach,odłączyć
detail,szczegół
detain,zatrzymać
detect,wykryć
detention,aresztowanie
detergent,detergent
deteriorate,pogarszać się
determinate,zdeterminowanym
determine,określać
deter,powstrzymać
detest,brzydzić
detonate,detonować
detour,objazd
detract,pomniejszać
detriment,uszczerbek
detritus,detritus
deutschmark,marka niemiecka
devalue,zdewaluować
devastate,niszczyć
develop,rozwijać
deviant,zboczeniec
deviate,zbaczać
device,urządzenie
devil,diabeł
devious,przebiegły
devise,wymyślać
devoid,pozbawiony czegoś
devolve,zrzucać coś z siebie
devote,poświęcać
devour,pożerać
devout,pobożny
dew,rosa
diabetes,cukrzyca
diagnose,rozpoznać chorobę
diagnosis,diagnoza
diagnostic,diagnostyczny
diagonal,przekątna
diagram,diagram
dialect,dialekt
dialectic,dialektyka
dialogue,dialog
dial,wybierz
dialysis,dializa
diameter,średnica
diamond,diament
diaper,pielucha
diaphragm,membrana
diarrhoea,biegunka
diary,dziennik
diaspora,diaspora
dice,kostka do gry
dichotomy,dychotomia
dictate,dyktować
dictionary,słownik
dictum,powiedzenie
didactic,dydaktyczny
diesel,diesel
diet,dieta
die,umierać
difference,różnica
differential,mechanizm różnicowy
differentiate,rozróżniać
different,różne
differ,różnić się
difficult,trudny
diffuse,rozproszony
digest,strawić
digital,cyfrowy
digit,cyfra
digitise,digitalizacja
dig,kopać
dignify,uczcić
dignitary,dostojnik
dignity,godność
digress,błądzić
dilapidated,zniszczony
dilate,rozszerzać
dilemma,dylemat
diligent,pracowity
dill,koper
dilute,rozcieńczać
dim,ciemny
dime,moneta dziesięciocentowa
dimension,wymiar
diminish,zmniejszać
diminutive,zdrobnienie
dimple,dołek na policzku
dine,jeść obiad
ding,ding
dinghy,łódka
dingy,obskurny
din,hałas
dinner,obiad
dinosaur,dinozaur
diocese,diecezja
dioxide,dwutlenek
dioxin,dioksyn
diplomacy,dyplomacja
diploma,dyplom
diplomat,dyplomata
dip,zanurzać
direct,bezpośredni
directed,skierowany
direction,kierunek
directorate,dyrektoriat
dire,straszny
dirty,brudny
disabled,niepełnosprawny
disadvantage,niekorzyść
disaffect,disaffect
disagree,nie zgadzać się
disallow,zakazać
disappear,znikać
disappoint,zawieść
disapprove,potępiać
disarm,rozbrajać
disarray,nieład
disaster,katastrofa
disavow,dezawuować
disband,rozpuszczać
disbelieve,nie dowierzać komuś
disburse,wypłacać
discard,odrzucać
disc,dysk
discernible,dostrzegalny
discern,rozeznać
discharge,rozładować się
disciple,uczeń
discipline,dyscyplina
disclaim,zrzec się
disclose,ujawniać
disclosure,ujawnienie
disco,dyskoteka
discolour,odbarwiać
discomfort,dyskomfort
disconcert,peszyć
disconnect,rozłączyć się
discontent,niezadowolenie
discontinue,zaprzestać
discontinuity,nieciągłość
discord,niezgoda
discount,zniżka
discourage,zniechęcać
discourse,rozprawiać
discover,odkryć
discredit,zdyskredytować
discreet,dyskretny
discrepancy,rozbieżność
discrete,oddzielny
discriminate,dyskryminować
discursive,dyskursywny
discuss,omawiać
disdain,pogarda
dis,dis
disease,choroba
disembark,wyokrętować
disembodied,bezcielesny
disenchant,odczarować
disenfranchise,disenfranchise
disengage,odłączyć
disfigure,oszpecić
disgrace,hańba
disgruntled,niezadowolony
disguise,przebranie
disgust,niesmak
dish,danie
dishevelled,rozczochrany
dishonest,nieuczciwy
dishonour,hańba
disillusion,rozczarować
disincentive,zniechęcający
disinfect,dezynfekować
disintegrate,rozpadać się
disinterested,bezinteresowny
dislocate,zdezorganizować
dislodge,usunąć
disloyal,nielojalny
dismal,ponury
dismantle,zdemontować
dismay,przerażenie
dismember,rozczłonkować
dismiss,oddalić
dismount,zdemontować
disobedient,nieposłuszny
disobey,być nieposłusznym
disorder,nieład
disorganized,zdezorganizowane
disorientate,dezorientować
disparage,deprecjonować
disparate,różny
disparity,różnica
dispassionate,beznamiętny
dispel,rozwiać
dispense,obyć się
disperse,rozpraszać
dispiriting,dispiriting
displace,wypierać
display,pokaz
displease,nie podobać się komuś
dispose,dysponować
disposition,usposobienie
dispossess,wywłaszczać
disproportion,dysproporcja
disprove,obalić
dispute,spierać się
disqualify,zdyskwalifikować
disquiet,niepokój
disrespect,brak szacunku
disrupt,zakłócać
dissatisfy,wywołać niezadowolenie
dissect,analizować wnikliwie
disseminate,rozpowszechniać
dissent,bunt
dissertation,rozprawa
dissident,dysydent
dissipate,znikać
dissociate,dysocjować
dissolution,rozpuszczenie
dissolve,rozpuścić
dissonance,dysonans
dissuade,odwieść
distal,dystalnej
distance,dystans
distant,odległy
distaste,niechęć
distil,destylować
distinct,odrębny
distinguish,rozróżniać
distort,zniekształcać
distract,rozpraszać
distraught,oszalały
distress,rozpacz
distribute,rozprowadzać
district,dzielnica
distrust,nieufność
disturb,przeszkadzać
disuse,nieużywania
ditch,rów
dive,nurkować
diverge,odchodzić
diverse,różnorodny
diversify,urozmaicać
diversion,dywersja
divert,odwracać
divest,pozbyć się
dividend,dywidenda
divide,podzielić
divine,boski
divinity,boskość
division,podział
divisive,dzielący
divorce,rozwód
divulge,ujawniać
dizzy,oszołomiony
dna,dna
docile,posłuszny
dock,dok
doctoral,doktorski
doctorate,doktorat
doctor,lekarz
doctrine,doktryna
documentary,film dokumentalny
document,dokument
dodge,unik
doe,łania
dogged,zawzięty
dogma,dogmat
dogmatic,dogmatyczny
dog,pies
dole,zasiłek
dollar,dolar
doll,lalka
dolphin,delfin
domain,domena
dome,kopuła
domesticate,udomowić
domestic,krajowy
dominance,przewaga
dominant,dominujący
dominate,zdominować
dominion,panowanie
domino,domino
donate,podarować
donkey,osioł
donned,przywdział
donor,dawca
doo,doo
doom,los
door,drzwi
dope,narkotyk
dormant,drzemiący
dormitory,akademik
dorsal,grzbietowy
dose,dawka
dote,zdziecinnieć
doth,czyż
dot,kropka
double,podwójnie
doubt,wątpić
dough,ciasto
doughnut,pączek
dour,srogi
douse,zgasić
dove,gołąb
down,na dół
downright,szczery
dowry,posag
doze,drzemać
dozen,tuzin
do,zrobić
drab,bezbarwny
draconian,drakoński
draft,wersja robocza
dragonfly,ważka
dragon,smok
drag,opór
drain,drenaż
drake,kaczor
drama,dramat
drape,udrapować
drastic,drastyczny
draught,wersja robocza
drawback,wada
drawer,szuflada
drawl,cedzenie
draw,remis
dreadful,straszny
dread,strach
dream,marzenie
dreary,ponury
dredge,pogłębiać
drench,zmoczyć
dresser,kredens
dress,sukienka
dribble,dryblować
drift,dryf
drill,wiercić
drink,drink
drip,kapać
drive,napęd
drizzle,mżawka
drone,warkot
drool,bzdurzyć
droop,omdleć
drop,upuszczać
drought,okres suszy
drown,utopić się
drowsy,senny
drudge,popychadło
drug,lek
druid,druid
drum,bęben
drunken,pijany
dry,suchy
dual,podwójny
dubious,wątpliwy
dub,zdubbingować
duchess,księżna
duck,kaczka
duct,kanał
dude,koleś
duel,pojedynek
duet,duet
due,z powodu
duke,książę
dull,nudny
dumb,głupi
dummy,manekin
dumpling,kluska
dump,wysypisko
dun,bury
dune,wydma
dungeon,loch
dung,łajno
duodenum,dwunastnica
duo,duet
dupe,ofiara oszustwa
duplex,dupleks
duplicate,duplikować
durable,trwały
duration,trwanie
duress,przymus
during,podczas
dusk,zmierzch
dust,kurz
duty,obowiązek
dwarf,krasnolud
dwell,mieszkać
dwindle,zmniejszać się
dye,barwnik
dyke,tama
dynamic,dynamiczny
dynamics,dynamika
dynamism,dynamizm
dynamite,dynamit
dynamo,dynamo
dynasty,dynastia
dysfunction,dysfunkcja
dyslexia,dysleksja
each,każdy
eager,chętny
eagle,orzeł
earl,hrabia
early,wcześnie
earnest,zadatek
earn,zarabiać
earshot,zasięg słuchu
earthquake,trzęsienie ziemi
earth,ziemia
ear,ucho
ease,łatwość
easel,sztaluga
eastern,wschodni
east,wschód
easy,łatwo
eat,jeść
eave,okapami
eavesdrop,podsłuchiwać
ebb,odpływ
ebony,heban
eccentric,ekscentryczny
ecclesiastic,duchowny
echelon,rzut
echo,echo
eclectic,eklektyczny
eclipse,zaćmienie
ecological,ekologiczny
ecology,ekologia
economy,gospodarka
ecosystem,ekosystemu
ecstasy,ekstaza
ecumenical,ekumeniczny
eddy,wir
edge,brzeg
edgy,kanciasty
edible,jadalny
edict,edykt
edifice,gmach
edit,edytować
edition,wydanie
educate,kształcić
eel,węgorz
eerie,niesamowity
effect,efekt
effective,efektywny
efficacy,skuteczność
efficient,wydajny
effigy,wizerunek
effluent,odciek
effort,wysiłek
egalitarian,egalitarny
egg,jajko
ego,ego
eight,osiem
either,zarówno
ejaculate,wykrzykiwać
eject,wyrzucać
elaborate,opracować
elapse,upłynąć
elastic,elastyczny
elate,podniecać
elbow,łokieć
elder,starszy
eldest,najstarszy
elect,elekt
elective,obieralny
electorate,elektorat
electric,elektryczny
electrify,elektryzować
electrode,elektroda
electrolyte,elektrolit
electromagnetic,elektromagnetyczny
electron,elektron
electronic,elektroniczny
elegance,elegancja
elegant,elegancki
elemental,pierwiastkowy
elementary,podstawowy
element,element
elephant,słoń
elevate,podwyższać
eleven,jedenaście
elf,elf
elicit,wywołać
eligible,wybieralny
eliminate,wyeliminować
elite,elita
elk,łoś
elliptical,eliptyczny
elm,wiąz
elongate,wydłużony
eloquent,wymowny
else,jeszcze
elucidate,wyjaśniać
elude,uniknąć
elusive,nieuchwytny
email,e-mail
emanate,pochodzić
emancipate,wyemancypować
embalm,zabalsamować
embankment,wał przeciwpowodziowy
embargo,embargo
embark,rozpocząć
embarrass,zawstydzić
embassy,ambasada
embattled,ustawiony w szyku
embed,osadzać
embellish,ozdobić
ember,niedopałek
embezzle,zdefraudować
emblazon,emblazon
emblem,godło
embody,ucieleśniać
emboss,wyryć
embrace,uścisk
embroider,haftować
embroil,poplątać
embryonic,embrionalny
embryo,zarodek
emerald,szmaragd
emergency,nagły wypadek
emerge,pojawić się
emeritus,emerytowany
emigrant,emigrant
emigrate,wyemigrować
eminence,eminencja
eminent,wybitny
emir,emir
emissary,emisariusz
emit,wydzielać
emotion,emocja
emotive,emocjonalny
empathy,empatia
emperor,cesarz
emphasise,podkreślać
emphasis,nacisk
emphatic,dobitny
empire,imperium
empirical,empiryczny
employ,zatrudniać
empower,umożliwiać
empress,cesarzowa
empty,pusty
emu,emu
emulate,naśladować
enable,włączyć
enact,zarządzać
enamel,szkliwo
encamp,encamp
encapsulate,hermetyzować
encase,obramować
enchant,zaczarować
enclave,enklawa
enclose,ująć
encode,kodować
encompass,objąć
encore,bis
encounter,spotkanie
encourage,zachęcać
encroach,wkraczać
encrypt,szyfrowanie
encumber,obciążyć
encyclopedia,encyklopedia
endear,przywiązać
endeavour,dążyć
endemic,endemiczny
end,koniec
endorse,podpisać się
endoscope,endoskop
endow,wyposażyć
endure,znieść
enemy,wróg
energy,energia
enforce,egzekwować
engage,angażować
engender,wywołać
engineer,inżynier
engine,silnik
engrave,grawerować
engross,redagować
engulf,pochłaniać
enhance,wzmacniać
enigma,enigma
enigmatic,enigmatyczny
enjoy,cieszyć się
enlarge,powiększać
enlighten,oświecać
enlist,zwerbować
enliven,ożywiać
enmity,wrogość
enormity,ogrom
enormous,ogromny
enough,dość
enquire,dowiadywać się
